Year,Season,FieldPlanting,Field,Species,PlantingType,Row,Tube,FirstCount,Count,Dead,PercentSurvived,AvgBySp
2023,Fall,UnderhillStakes,Underhill,Lucida,Stakes,Row1,NoTube,62,62,,,
2023,Fall,UnderhillStakes,Underhill,Lucida,Stakes,Row2,NoTube,58,58,,,
2023,Fall,UnderhillStakes,Underhill,Lucida,Stakes,Row3,Tube,61,61,,,
2023,Fall,UnderhillStakes,Underhill,Discolor,Stakes,Row1,NoTube,63,63,,,
2023,Fall,UnderhillStakes,Underhill,Discolor,Stakes,Row2,NoTube,64,64,,,
2023,Fall,UnderhillStakes,Underhill,Discolor,Stakes,Row3,Tube,60,60,,,
2023,Fall,UnderhillStakes,Underhill,Purpurea,Stakes,Row1,NoTube,59,59,,,
2023,Fall,UnderhillStakes,Underhill,Purpurea,Stakes,Row2,NoTube,63,63,,,
2023,Fall,UnderhillStakes,Underhill,Purpurea,Stakes,Row3,Tube,79,79,,,
2023,Fall,UnderhillStakes,Underhill,Sericea,Stakes,Row1,NoTube,76,76,,,
2023,Fall,UnderhillStakes,Underhill,Sericea,Stakes,Row2,NoTube,72,72,,,
2024,Spring,UnderhillStakes,Underhill,Sericea,Stakes,Row3,Tube,67,67,,,
2024,Spring,UnderhillRoot,Underhill,Lucida,Pots,Row1,NoTube,23,23,,,
2024,Spring,UnderhillRoot,Underhill,Lucida,Pots,Row2,NoTube,26,26,,,
2024,Spring,UnderhillRoot,Underhill,Lucida,Pots,Row3,NoTube,27,27,,,
2024,Spring,UnderhillRoot,Underhill,Discolor,Pots,Row1,NoTube,24,24,,,
2024,Spring,UnderhillRoot,Underhill,Discolor,Pots,Row2,NoTube,25,25,,,
2024,Spring,UnderhillRoot,Underhill,Discolor,Pots,Row3,NoTube,25,25,,,
2024,Spring,UnderhillRoot,Underhill,Purpurea,Pots,Row1,NoTube,25,25,,,
2024,Spring,UnderhillRoot,Underhill,Purpurea,Pots,Row2,NoTube,26,26,,,
2024,Spring,UnderhillRoot,Underhill,Purpurea,Pots,Row3,NoTube,24,24,,,
2024,Spring,UnderhillRoot,Underhill,Sericea,Pots,Row1,NoTube,35,35,,,
2024,Spring,UnderhillRoot,Underhill,Sericea,Pots,Row2,NoTube,32,32,,,
2024,Spring,UnderhillRoot,Underhill,Sericea,Pots,Row3,NoTube,33,33,,,
2023,Fall,BarberryStakes,Barberry,Purpurea,Stakes,Row1,NoTube,56,56,,,
2023,Fall,BarberryStakes,Barberry,Purpurea,Stakes,Row2,NoTube,60,60,,,
