date,month,year,plantingtype,field,species,number,location,tube,lifestage,stems,height_cm,rodentdamage,id,protected,death,browse,,
3/8/2024,March,2024,Staked,Underhill,lucida,501,3-7,Yes,nothing,0,74,none,5013-7,,,,,
3/8/2024,March,2024,Staked,Underhill,lucida,502,2-19,No,nothing,0,56,none,5022-19,,,,,
3/8/2024,March,2024,Staked,Underhill,lucida,503,1-32,No,nothing,0,61,none,5031-32,,,,,
3/8/2024,March,2024,Staked,Underhill,lucida,504,2-42,No,nothing,0,71,none,5042-42,,,,,
3/8/2024,March,2024,Staked,Underhill,lucida,505,1-59,No,nothing,0,67,none,5051-59,,,,,
3/8/2024,March,2024,Staked,Underhill,discolor,506,2-3,No,nothing,0,71,none,5062-3,,,,,
3/8/2024,March,2024,Staked,Underhill,discolor,507,2-12,No,nothing,0,70,none,5072-12,,,,,
3/8/2024,March,2024,Staked,Underhill,discolor,508,1-29,No,nothing,0,56,none,5081-29,,,,,
3/8/2024,March,2024,Staked,Underhill,discolor,509,3-32,Yes,nothing,0,72,none,5093-32,,,,,
3/8/2024,March,2024,Staked,Underhill,discolor,510,2-46,No,nothing,0,71,none,5102-46,,,,,
3/8/2024,March,2024,Staked,Underhill,purpurea,511,2-1,No,nothing,0,56,none,5112-1,,,,,
3/8/2024,March,2024,Staked,Underhill,purpurea,512,2-10,No,nothing,0,66,none,5122-10,,,,,
3/8/2024,March,2024,Staked,Underhill,purpurea,513,1-26,Yes,nothing,0,67,none,5131-26,,,,,
3/8/2024,March,2024,Staked,Underhill,purpurea,514,3-32,No,nothing,0,69,none,5143-32,,,,,
3/8/2024,March,2024,Staked,Underhill,purpurea,515,2-44,No,nothing,0,58,none,5152-44,,,,,
3/8/2024,March,2024,Staked,Underhill,sericea,516,2-14,No,nothing,0,80,none,5162-14,,,,,
3/8/2024,March,2024,Staked,Underhill,sericea,667,1-17,No,nothing,0,68,none,6671-17,,,,,
3/8/2024,March,2024,Staked,Underhill,sericea,518,2-31,No,nothing,0,70,rodent,5182-31,,,,,
3/8/2024,March,2024,Staked,Underhill,sericea,519,1-45,No,nothing,0,76,none,5191-45,,,,,
3/8/2024,March,2024,Staked,Underhill,sericea,520,3-54,Yes,nothing,0,60,none,5203-54,,,,,
3/8/2024,March,2024,Staked,Barberry,purpurea,521,2-3,No,nothing,0,74,rodent,5212-3,,,,,
3/8/2024,March,2024,Staked,Barberry,purpurea,522,1-13,No,nothing,0,68,none,5221-13,,,,,
3/8/2024,March,2024,Staked,Barberry,purpurea,523,2-18,No,nothing,0,59,none,5232-18,,,,,
3/8/2024,March,2024,Staked,Barberry,purpurea,524,2-47,No,nothing,0,67,none,5242-47,,,,,
3/8/2024,March,2024,Staked,Barberry,purpurea,525,3-55,Yes,nothing,0,59,none,5253-55,,,,,
3/8/2024,March,2024,Staked,Barberry,sericea,526,2-7,No,nothing,0,59,none,5262-7,,,,,
3/8/2024,March,2024,Staked,Barberry,sericea,527,3-8,Yes,nothing,0,60,none,5273-8,,,,,
3/8/2024,March,2024,Staked,Barberry,sericea,528,1-15,No,nothing,0,54,none,5281-15,,,,,
3/8/2024,March,2024,Staked,Barberry,sericea,529,1-22,No,nothing,0,69,none,5291-22,,,,,
3/8/2024,March,2024,Staked,Barberry,sericea,530,3-48,Yes,nothing,0,69,none,5303-48,,,,,
3/8/2024,March,2024,Staked,Barberry,lucida,531,1-12,No,nothing,0,54,none,5311-12,,,,,
3/8/2024,March,2024,Staked,Barberry,lucida,532,3-18,Yes,nothing,0,63,none,5323-18,,,,,
3/8/2024,March,2024,Staked,Barberry,lucida,533,2-31,No,nothing,0,72,none,5332-31,,,,,
3/8/2024,March,2024,Staked,Barberry,lucida,491,3-47,Yes,nothing,0,59,none,4913-47,,,,,
3/8/2024,March,2024,Staked,Barberry,lucida,535,2-57,No,scaleless buds,0,75,none,5352-57,,,,,
3/8/2024,March,2024,Staked,Barberry,discolor,536,2-5,No,nothing,0,62,none,5362-5,,,,,
3/8/2024,March,2024,Staked,Barberry,discolor,537,1-19,No,nothing,0,42,none,5371-19,,,,,
3/8/2024,March,2024,Staked,Barberry,discolor,538,2-27,No,nothing,0,59,none,5382-27,,,,,
3/8/2024,March,2024,Staked,Barberry,discolor,491,3-47,Yes,nothing,0,43,none,4913-47,,,,,
3/8/2024,March,2024,Staked,Barberry,discolor,540,3-61,Yes,nothing,0,61,none,5403-61,,,,,
3/8/2024,March,2024,Staked,GP1,discolor,541,3-3,Yes,nothing,0,56,none,5413-3,,,,,
3/8/2024,March,2024,Staked,GP1,discolor,542,3-13,No,nothing,0,70,none,5423-13,,,,,
3/8/2024,March,2024,Staked,GP1,discolor,543,2-25,Yes,nothing,0,49,none,5432-25,,,,,
3/8/2024,March,2024,Staked,GP1,discolor,544,1-38,No,nothing,0,58,none,5441-38,,,,,
3/8/2024,March,2024,Staked,GP1,discolor,545,2-49,No,scaled buds,0,59,rodent,5452-49,,,,,
3/8/2024,March,2024,Staked,GP1,purpurea,546,1-10,No,nothing,0,57,none,5461-10,,,,,
3/8/2024,March,2024,Staked,GP1,purpurea,547,1-25,No,nothing,0,65,none,5471-25,,,,,
3/8/2024,March,2024,Staked,GP1,purpurea,548,2-32,No,scaled buds,0,66,none,5482-32,,,,,
3/8/2024,March,2024,Staked,GP1,purpurea,549,1-36,No,nothing,0,73,none,5491-36,,,,,
3/8/2024,March,2024,Staked,GP1,purpurea,550,2-52,No,nothing,0,64,none,5502-52,,,,,
3/8/2024,March,2024,Staked,GP1,lucida,551,2-18,No,nothing,0,64,none,5512-18,,,,,
3/8/2024,March,2024,Staked,GP1,lucida,552,3-33,Yes,nothing,0,71,none,5523-33,,,,,
3/8/2024,March,2024,Staked,GP1,lucida,553,1-41,No,nothing,0,43,none,5531-41,,,,,
3/8/2024,March,2024,Staked,GP1,lucida,554,2-47,No,nothing,0,67,none,5542-47,,,,,
3/8/2024,March,2024,Staked,GP1,lucida,555,1-53,No,nothing,0,47,none,5551-53,,,,,
3/8/2024,March,2024,Staked,GP1,sericea,556,3-18,Yes,nothing,0,73,none,5563-18,,,,,
3/8/2024,March,2024,Staked,GP1,sericea,557,2-34,No,scaled buds,0,61,none,5572-34,,,,,
3/8/2024,March,2024,Staked,GP1,sericea,558,3-41,Yes,nothing,0,54,none,5583-41,,,,,
3/8/2024,March,2024,Staked,GP1,sericea,559,2-50,No,nothing,0,59,none,5592-50,,,,,
3/8/2024,March,2024,Staked,GP1,sericea,560,3-54,Yes,nothing,0,61,none,5603-54,,,,,
3/8/2024,March,2024,Staked,GP2,sericea,561,2-8,No,nothing,0,78,none,5612-8,,,,,
3/8/2024,March,2024,Staked,GP2,sericea,562,1-12,No,nothing,0,70,none,5621-12,,,,,
3/8/2024,March,2024,Staked,GP2,sericea,563,2-28,No,nothing,0,67,none,5632-28,,,,,
3/8/2024,March,2024,Staked,GP2,sericea,564,1-37,No,nothing,0,66,none,5641-37,,,,,
3/8/2024,March,2024,Staked,GP2,sericea,565,3-44,Yes,nothing,0,68,none,5653-44,,,,,
3/8/2024,March,2024,Staked,GP2,lucida,566,2-8,No,nothing,0,75,none,5662-8,,,,,
3/8/2024,March,2024,Staked,GP2,lucida,567,3-14,Yes,nothing,0,66,none,5673-14,,,,,
3/8/2024,March,2024,Staked,GP2,lucida,568,3-27,Yes,nothing,0,64,none,5683-27,,,,,
3/8/2024,March,2024,Staked,GP2,lucida,569,2-30,No,nothing,0,66,none,5692-30,,,,,
3/8/2024,March,2024,Staked,GP2,lucida,570,3-49,Yes,nothing,0,58,none,5703-49,,,,,
3/8/2024,March,2024,Staked,GP2,purpurea,571,1-12,No,nothing,0,70,none,5711-12,,,,,
3/8/2024,March,2024,Staked,GP2,purpurea,572,3-15,Yes,nothing,0,55,none,5723-15,,,,,
3/8/2024,March,2024,Staked,GP2,purpurea,573,2-22,No,scaled buds,0,57,none,5732-22,,,,,
3/8/2024,March,2024,Staked,GP2,purpurea,574,2-55,No,nothing,0,50,none,5742-55,,,,,
3/8/2024,March,2024,Staked,GP2,purpurea,575,3-55,Yes,nothing,0,66,none,5753-55,,,,,
3/8/2024,March,2024,Staked,GP2,discolor,576,1-10,No,nothing,0,51,rodent,5761-10,,,,,
3/8/2024,March,2024,Staked,GP2,discolor,577,3-20,Yes,nothing,0,72,none,5773-20,,,,,
3/8/2024,March,2024,Staked,GP2,discolor,578,2-26,No,nothing,0,70,none,5782-26,,,,,
3/8/2024,March,2024,Staked,GP2,discolor,579,2-48,No,nothing,0,46,none,5792-48,,,,,
3/8/2024,March,2024,Staked,GP2,discolor,580,2-56,No,nothing,0,65,none,5802-56,,,,,
5/7/2024,May,2024,Staked,Underhill,lucida,501,3-7,Yes,nothing,0,74,none,5013-7,,died,,,
5/7/2024,May,2024,Staked,Underhill,lucida,502,2-19,No,leaves,0,56,none,5022-19,,,,,
5/7/2024,May,2024,Staked,Underhill,lucida,503,1-32,No,nothing,0,61,none,5031-32,,died,,,
5/7/2024,May,2024,Staked,Underhill,lucida,504,2-42,No,leaves,0,71,none,5042-42,,,,,
5/7/2024,May,2024,Staked,Underhill,lucida,505,1-59,No,nothing,0,67,none,5051-59,,,,,
5/7/2024,May,2024,Staked,Underhill,discolor,506,2-3,No,scaled buds,0,71,none,5062-3,,,,,
5/7/2024,May,2024,Staked,Underhill,discolor,507,2-12,No,nothing,0,70,none,5072-12,,,,,
5/7/2024,May,2024,Staked,Underhill,discolor,508,1-29,No,nothing,0,56,none,5081-29,,died,,,
5/7/2024,May,2024,Staked,Underhill,discolor,509,3-32,Yes,nothing,0,72,none,5093-32,,died,,,
5/7/2024,May,2024,Staked,Underhill,discolor,510,2-46,No,leaves,0,71,none,5102-46,,,,,
5/7/2024,May,2024,Staked,Underhill,purpurea,511,2-1,No,scaled buds,0,56,none,5112-1,,,,,
5/7/2024,May,2024,Staked,Underhill,purpurea,512,2-10,No,nothing,0,66,none,5122-10,,,,,
5/7/2024,May,2024,Staked,Underhill,purpurea,513,1-26,Yes,leaves,0,67,none,5131-26,,,,,
